address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,title,url,year_built
Dorpsstraat 195 a,,,Hazerswoude,2391 CC,,375000,house,4,,,https://www.funda.nl/koop/hazerswoude-dorp/huis-86033038-dorpsstraat-195-a/,2000
Tolstraat 2 b,,,Alphen-aan-den-Rijn,2405 VR,,225000,house,4,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-86080177-tolstraat-2-b/,1932
Bootstraat 11,,,Boskoop,2771 DL,,169000,house,5,,,https://www.funda.nl/koop/boskoop/huis-86210108-bootstraat-11/,1920
Prins Hendrikstraat 124,,,Alphen-aan-den-Rijn,2405 AM,,245000,house,2,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-86269291-prins-hendrikstraat-124/,1935
Oranjestraat 42,,,Alphen-aan-den-Rijn,2405 BH,,225000,house,4,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-86266294-oranjestraat-42/,1906
Prins Hendrikstraat 174,,,Alphen-aan-den-Rijn,2405 AN,,289000,apartment,3,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-86245534-prins-hendrikstraat-174/,2003
Vliestroom 99,,,Alphen-aan-den-Rijn,2401 VC,,175000,apartment,4,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-86278474-vliestroom-99/,1973
Park Te Horn 8,,,Koudekerk-aan-den-Rijn,2396 CP,,499000,house,4,,,https://www.funda.nl/koop/koudekerk-aan-den-rijn/huis-85034953-park-te-horn-8/,1971
Hoorn 36,,,Alphen-aan-den-Rijn,2404 HJ,,485000,house,4,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-85637188-hoorn-36/,2007
Ridderbuurt 27,,,Boskoop,2771 ZA,,250000,house,6,,,https://www.funda.nl/koop/boskoop/huis-86242070-ridderbuurt-27/,1926
Voorweg 10,,,Hazerswoude,2391 AA,,375000,house,5,,,https://www.funda.nl/koop/hazerswoude-dorp/huis-86248793-voorweg-10/,1905
Waterlelie 10,,,Boskoop,2771 LS,,259000,house,5,,,https://www.funda.nl/koop/boskoop/huis-86253323-waterlelie-10/,1976
Loevestein 175,,,Alphen-aan-den-Rijn,2403 JH,,269000,house,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-86273107-loevestein-175/,1978
Varossieaupalet 35,,,Alphen-aan-den-Rijn,2405 JA,,385000,apartment,3,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-86035471-varossieaupalet-35/,1999
Zuidwijk 2,,,Boskoop,2771 CC,,695000,house,14,,,https://www.funda.nl/koop/boskoop/huis-84734289-zuidwijk-2/,1910
Australiëlaan 17,,,Alphen-aan-den-Rijn,2408 BN,,375000,house,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-86176041-australielaan-17/,2008
Koperweg 33 35,,,Alphen-aan-den-Rijn,2401 LH,,775000,house,3,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40889321-koperweg-33-35/,1971
Rozenlaan 17,,,Boskoop,2771 DB,,600000,house,5,,,https://www.funda.nl/koop/boskoop/huis-86244833-rozenlaan-17/,1915
Prins Hendrikstraat 70 f,,,Alphen-aan-den-Rijn,2405 AL,,675000,apartment,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40472288-prins-hendrikstraat-70-f/,2005
Clusiuserf 13,,,Boskoop,2771 ST,,269500,apartment,4,,,https://www.funda.nl/koop/boskoop/appartement-86907603-clusiuserf-13/,1997
Kooikerstraat 95,,,Alphen-aan-den-Rijn,2408 SW,,795000,apartment,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-86179573-kooikerstraat-95/,2008
Linnaeusweg 80,,,Boskoop,2771 HG,,169500,apartment,3,,,https://www.funda.nl/koop/boskoop/appartement-86246481-linnaeusweg-80/,1963
Koraalzwam 133,,,Alphen-aan-den-Rijn,2403 ST,,200000,apartment,3,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-86251802-koraalzwam-133/,1973
Zuideinde 67,,,Aarlanderveen,2445 AT,,1125000,house,6,,,https://www.funda.nl/koop/aarlanderveen/huis-85724178-zuideinde-67/,1901
Parklaan 1 A,,,Boskoop,2771 GB,,795000,house,9,,,https://www.funda.nl/koop/boskoop/huis-86029701-parklaan-1-a/,1985
Linnaeusweg 39,,,Boskoop,2771 HK,,230000,house,4,,,https://www.funda.nl/koop/boskoop/huis-86214067-linnaeusweg-39/,1964
Zuidwijk 37 A,,,Boskoop,2771 CB,,550000,house,4,,,https://www.funda.nl/koop/boskoop/huis-86229970-zuidwijk-37-a/,1982
Poolsterstraat 22,,,Alphen-aan-den-Rijn,2402 BL,,279000,house,7,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-86246174-poolsterstraat-22/,1970
Kooikerstraat 72,,,Alphen-aan-den-Rijn,2408 SP,,425000,house,7,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-86252814-kooikerstraat-72/,2006
Dr. Albert Schweitzerlaan 14,,,Benthuizen,2731 EB,,350000,house,6,,,https://www.funda.nl/koop/benthuizen/huis-86267877-dr-albert-schweitzerlaan-14/,1972
Parklaan 202,,,Boskoop,2771 JM,,349000,house,5,,,https://www.funda.nl/koop/boskoop/huis-86278267-parklaan-202/,2012
Burgemeester Colijnstraat 95,,,Boskoop,2771 GJ,,187500,house,2,,,https://www.funda.nl/koop/boskoop/huis-49203392-burgemeester-colijnstraat-95/,1906
Tuinstraat 13,,,Boskoop,2771 BW,,249000,house,5,,,https://www.funda.nl/koop/boskoop/huis-86048235-tuinstraat-13/,1935
Steekterweg 23,,,Alphen-aan-den-Rijn,2407 BD,,750000,house,6,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-86077250-steekterweg-23/,1912
Dorpsstraat 83,,,Hazerswoude,2391 BD,,445000,house,5,,,https://www.funda.nl/koop/hazerswoude-dorp/huis-40626819-dorpsstraat-83/,1971
Dorpsstraat 125,,,Benthuizen,2731 AN,,225000,house,6,,,https://www.funda.nl/koop/benthuizen/huis-86179824-dorpsstraat-125/,1935
Brederodepeer 32,,,Boskoop,2771 NX,,449000,house,5,,,https://www.funda.nl/koop/boskoop/huis-86249271-brederodepeer-32/,2017
de Populier 46,,,Benthuizen,2731 HE,,550000,house,6,,,https://www.funda.nl/koop/benthuizen/huis-40889037-de-populier-46/,1984
Julianastraat 118,,,Alphen-aan-den-Rijn,2405 CJ,,335000,house,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40804033-julianastraat-118/,1981
Schoener 1,,,Alphen-aan-den-Rijn,2401 MT,,735000,house,6,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-48235393-schoener-1/,1989
Oude Gemeneweg 35,,,Hazerswoude,2391 BE,,400000,house,5,,,https://www.funda.nl/koop/hazerswoude-dorp/huis-49132744-oude-gemeneweg-35/,1927
Sportlaan 6,,,Benthuizen,2731 CB,,575000,house,5,,,https://www.funda.nl/koop/benthuizen/huis-40438060-sportlaan-6/,1972
Groenoord 152,,,Alphen-aan-den-Rijn,2401 AJ,,655000,house,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40717298-groenoord-152/,1976
Bouwnummer (Bouwnr. 34),,,Alphen-aan-den-Rijn,2406 BZ,,385000,house,6,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40680734-bouwnummer-bouwnr-34/,2019
Ruisdaelstraat 7,,,Alphen-aan-den-Rijn,2406 TB,,225000,house,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40870609-ruisdaelstraat-7/,1939
Filips van Bourgondiëstraat 56,,,Alphen-aan-den-Rijn,2405 ZL,,379000,house,5,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-40890646-filips-van-bourgondiestraat-56/,1990
Galerij 36,,,Boskoop,2771 XJ,,339000,apartment,3,,,https://www.funda.nl/koop/boskoop/appartement-40880839-galerij-36/,1997
Stadhoudersplein 7,,,Alphen-aan-den-Rijn,2404 BE,,150000,apartment,2,,,https://www.funda.nl/koop/alphen-aan-den-rijn/appartement-40807309-stadhoudersplein-7/,2005
Rijneveld 134,,,Boskoop,2771 XP,,695000,house,6,,,https://www.funda.nl/koop/boskoop/huis-40406289-rijneveld-134/,1912
Zuidwijk 20,,,Boskoop,2771 CC,,475000,house,5,,,https://www.funda.nl/koop/boskoop/huis-40659656-zuidwijk-20/,1907
Zuidkade 51,,,Boskoop,2771 DR,,775000,house,5,,,https://www.funda.nl/koop/boskoop/huis-40670839-zuidkade-51/,2001
Woubrugseweg 5,,,Alphen-aan-den-Rijn,2401 LT,,1149000,house,7,,,https://www.funda.nl/koop/alphen-aan-den-rijn/huis-86059037-woubrugseweg-5/,1991
Hoogewaard 56,,,Koudekerk-aan-den-Rijn,2396 AD,,535000,house,7,,,https://www.funda.nl/koop/koudekerk-aan-den-rijn/huis-40614850-hoogewaard-56/,1975
