address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,title,url,year_built
Annerweg 1 A,,,Eext,9463 TA,,865000,house,13,,,https://www.funda.nl/koop/eext/huis-40854355-annerweg-1-a/,1969
Kampakkers 7,,,Ekehaar,9454 PG,,359000,house,5,,,https://www.funda.nl/koop/ekehaar/huis-86275135-kampakkers-7/,1971
Kampakkers 3,,,Ekehaar,9454 PG,,279000,house,4,,,https://www.funda.nl/koop/ekehaar/huis-40471383-kampakkers-3/,1968
Koffielaantje 4,,,Eexterveen,9658 PL,,320000,house,6,,,https://www.funda.nl/koop/eexterveen/huis-40685945-koffielaantje-4/,2002
Venakkers 3,,,Eext,9463 RH,,249000,house,5,,,https://www.funda.nl/koop/eext/huis-40619195-venakkers-3/,1969
De Veldrits 2,,,Rolde,9451 DC,,275000,house,4,,,https://www.funda.nl/koop/rolde/huis-40854467-de-veldrits-2/,2001
Hoofdstraat 83,,,Gasselternijveen,9514 BB,,169000,house,4,,,https://www.funda.nl/koop/gasselternijveen/huis-40875499-hoofdstraat-83/,1932
Gasselterweg 7,,,Gasselternijveen,9514 BK,,199000,house,7,,,https://www.funda.nl/koop/gasselternijveen/huis-47691172-gasselterweg-7/,1920
Semsstraat 159,,,Eexterveenschekanaal,9659 PN,,169000,house,3,,,https://www.funda.nl/koop/eexterveenschekanaal/huis-47617617-semsstraat-159/,1925
Havenkade 18,,,Gasselternijveen,9514 BV,,189000,house,5,,,https://www.funda.nl/koop/gasselternijveen/huis-47841741-havenkade-18/,1920
Hoofdstraat 80,,,Gasselternijveen,9514 BG,,99000,house,2,,,https://www.funda.nl/koop/gasselternijveen/huis-48900940-hoofdstraat-80/,1960
Veenhof 2,,,Eexterveenschekanaal,9659 PP,,125000,house,5,,,https://www.funda.nl/koop/eexterveenschekanaal/huis-48383321-veenhof-2/,1981
Torenveen 2,,,Gieterveen,9511 PB,,498000,house,6,,,https://www.funda.nl/koop/gieterveen/huis-49433914-torenveen-2/,1906
Broek 44,,,Gieterveen,9511 PT,,349000,house,4,,,https://www.funda.nl/koop/gieterveen/huis-49624028-broek-44/,1966
Zuidzijde 56,,,Gasselternijveenschemond,9515 PK,,200000,house,6,,,https://www.funda.nl/koop/gasselternijveenschemond/huis-49883459-zuidzijde-56/,1906
Gasselterweg 41,,,Gieten,9461 TL,,785000,house,5,,,https://www.funda.nl/koop/gieten/huis-49026626-gasselterweg-41/,1924
Vonderpad 19,,,Gieterveen,9511 RD,,342500,house,5,,,https://www.funda.nl/koop/gieterveen/huis-49139092-vonderpad-19/,1990
Elzenwal 48,,,Gieten,9461 JZ,,139500,house,5,,,https://www.funda.nl/koop/gieten/huis-49361114-elzenwal-48/,1973
Schulte Alinghlaan 34,,,Gasselte,9462 SG,,279500,house,5,,,https://www.funda.nl/koop/gasselte/huis-40431212-schulte-alinghlaan-34/,1971
Amen 61,,,Amen,9446 PB,,795000,house,6,,,https://www.funda.nl/koop/amen/huis-40589983-amen-61/,1938
Nijend 20,,,Anderen,9465 TR,,279000,house,4,,,https://www.funda.nl/koop/anderen/huis-40525534-nijend-20/,1971
Kamille 4,,,Gieten,9461 HJ,,379000,house,6,,,https://www.funda.nl/koop/gieten/huis-40532953-kamille-4/,1995
