address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,title,url,year_built
Marsstraat 18,,,Aalsmeer,1431 XK,,439000,house,4,,,https://www.funda.nl/koop/aalsmeer/huis-40892125-marsstraat-18/,1972
Uiterweg 106,,,Aalsmeer,1431 AR,,865000,house,4,,,https://www.funda.nl/koop/aalsmeer/huis-40804956-uiterweg-106/,1740
Geraniumstraat 109,,,Aalsmeer,1431 SX,,225000,apartment,3,,,https://www.funda.nl/koop/aalsmeer/appartement-40810213-geraniumstraat-109/,1954
Karperstraat 11,,,Aalsmeer,1432 PB,,879000,house,6,,,https://www.funda.nl/koop/aalsmeer/huis-40818252-karperstraat-11/,2007
Oosteinderweg 472,,,Aalsmeer,1432 BP,,1395000,house,6,,,https://www.funda.nl/koop/aalsmeer/huis-40620626-oosteinderweg-472/,1980
Uiterweg 218,,,Aalsmeer,1431 AT,,1450000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-40895481-uiterweg-218/,1981
Willem-Alexanderstraat 62,,,Aalsmeer,1432 HM,,350000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-40807219-willem-alexanderstraat-62/,1960
Uiterweg 6,,,Aalsmeer,1431 AN,,595000,house,6,,,https://www.funda.nl/koop/aalsmeer/huis-49359625-uiterweg-6/,1935
Korfstraat 20,,,Kudelstaart,1433 DD,,569000,apartment,4,,,https://www.funda.nl/koop/kudelstaart/appartement-40750040-korfstraat-20/,2007
Zuiderpark 52 53,,,Kudelstaart,1433 PS,,889000,house,7,,,https://www.funda.nl/koop/kudelstaart/huis-40652438-zuiderpark-52-53/,2002
Sportlaan 89,,,Aalsmeer,1431 HX,,880000,house,7,,,https://www.funda.nl/koop/aalsmeer/huis-49289744-sportlaan-89/,1934
Uiterweg 73 WS1,,,Aalsmeer,1431 AB,,1595000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-86961433-uiterweg-73-ws1/,2003
Zijdstraat 77 B,,,Aalsmeer,1431 EB,,225000,apartment,3,,,https://www.funda.nl/koop/aalsmeer/appartement-40695594-zijdstraat-77-b/,2012
Machineweg 197 - AB,,,Aalsmeer,1432 ES,,1125000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-40678487-machineweg-197-ab/,2008
Werven 37,,,Aalsmeer,1431 CP,,925000,house,6,,,https://www.funda.nl/koop/aalsmeer/huis-40587230-werven-37/,2007
Uiterweg 65,,,Aalsmeer,1431 AB,,450000,house,4,,,https://www.funda.nl/koop/aalsmeer/huis-40581649-uiterweg-65/,1920
Oosteinderweg 272,,,Aalsmeer,1432 BC,,595000,house,6,,,https://www.funda.nl/koop/aalsmeer/huis-40609281-oosteinderweg-272/,1917
Ketelhuis 3,,,Aalsmeer,1431 LS,,595000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-40736896-ketelhuis-3/,2000
Jac. P. Thijsselaan 37,,,Aalsmeer,1431 KD,,425000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-40855334-jac-p-thijsselaan-37/,1964
Aalsmeerderweg 182,,,Aalsmeer,1432 CV,,440000,house,4,,,https://www.funda.nl/koop/aalsmeer/huis-40885212-aalsmeerderweg-182/,1953
Zijlijnstraat 18,,,Kudelstaart,1433 DC,,325000,house,4,,,https://www.funda.nl/koop/kudelstaart/huis-40882455-zijlijnstraat-18/,2004
Spinradhof 3,,,Aalsmeer,1431 DH,,795000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-40894959-spinradhof-3/,2011
Ringvaartzijde 43,,,Aalsmeer,1431 CM,,685000,house,7,,,https://www.funda.nl/koop/aalsmeer/huis-40618118-ringvaartzijde-43/,1980
Schweitzerstraat 31,,,Kudelstaart,1433 AE,,275000,house,5,,,https://www.funda.nl/koop/kudelstaart/huis-40714836-schweitzerstraat-31/,1972
Fuutlaan 40,,,Aalsmeer,1431 VP,,1250000,house,6,,,https://www.funda.nl/koop/aalsmeer/huis-40806111-fuutlaan-40/,1975
Herenweg 88,,,Aalsmeer,1431 GX,,1250000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-40448324-herenweg-88/,1996
Stommeerweg 135,,,Aalsmeer,1431 EV,,749000,house,5,,,https://www.funda.nl/koop/aalsmeer/huis-40677969-stommeerweg-135/,1972
